,Nikkiso,Osram 4.7 mW,Osram 42 mW,CIS,Stanely
Wavelength(nm),Intensity,Intensity,Intensity,Intensity,Intensity
,,,,,
351.14,4.02276E-09,8.12735E-10,1.12119E-08,6.77279E-10,5.03122E-10
351.71,5.3413E-09,1.54905E-09,1.34112E-08,6.97074E-10,8.00344E-10
352.29,4.95538E-09,7.55336E-10,1.12216E-08,7.74704E-10,4.64822E-10
352.86,4.5795E-09,9.90181E-10,1.2025E-08,6.60121E-10,5.17742E-10
353.44,4.74123E-09,9.52654E-10,1.04878E-08,5.83258E-10,8.94328E-10
354.01,1.55855E-10,8.77166E-10,1.06449E-08,4.09344E-10,5.32797E-10
354.59,4.99058E-09,9.16743E-10,1.13013E-08,6.24165E-10,4.94131E-10
355.16,5.15564E-09,1.05514E-09,1.05405E-08,7.22967E-10,6.90401E-10
355.73,5.79819E-09,8.81966E-10,9.26737E-09,5.48779E-10,4.96514E-10
356.31,6.2847E-09,8.0567E-10,1.19089E-08,6.28815E-10,6.55016E-10
356.88,5.42827E-09,1.02328E-09,1.10085E-08,6.2971E-10,3.54212E-10
357.46,5.91973E-09,1.06614E-09,1.19652E-08,6.71271E-10,4.47514E-10
358.03,5.94129E-09,9.31312E-10,1.18768E-08,8.91682E-10,1.0436E-09
358.61,5.71329E-09,8.33646E-10,1.25578E-08,6.94705E-10,4.49904E-10
359.18,4.61642E-09,6.57006E-10,1.19332E-08,5.97278E-10,1.43347E-09
359.76,8.85237E-09,7.38103E-10,9.69832E-09,4.38872E-10,3.72376E-10
360.33,4.87175E-09,5.5936E-10,7.84954E-09,6.59246E-10,5.99314E-10
360.91,5.74325E-09,4.78867E-10,9.16877E-09,8.18064E-10,4.25659E-10
361.48,3.10759E-09,5.97942E-10,1.12828E-08,1.23575E-09,3.8534E-10
362.06,5.0204E-09,7.57461E-10,1.0089E-08,5.58129E-10,4.65107E-10
362.63,7.00645E-09,1.99156E-10,1.14065E-08,7.76708E-10,6.90407E-10
363.21,5.57193E-09,4.38035E-10,9.54723E-09,4.57946E-10,4.24761E-10
